mpg,cylinders,displacement,horsepower,weight,acceleration,age,model_year,origin,name
13.0,8,350.0,155.0,4502.0,13.5,52,1972,usa,buick lesabre custom
12.0,8,350.0,160.0,4456.0,13.5,52,1972,usa,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422.0,12.5,52,1972,usa,chrysler newport royal
19.0,3,70.0,97.0,2330.0,13.5,52,1972,japan,mazda rx2 coupe
15.0,8,304.0,150.0,3892.0,12.5,52,1972,usa,amc matador (sw)
13.0,8,307.0,130.0,4098.0,14.0,52,1972,usa,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294.0,16.0,52,1972,usa,ford gran torino (sw)
14.0,8,318.0,150.0,4077.0,14.0,52,1972,usa,plymouth satellite custom (sw)
18.0,4,121.0,112.0,2933.0,14.5,52,1972,europe,volvo 145e (sw)
22.0,4,121.0,76.0,2511.0,18.0,52,1972,europe,volkswagen 411 (sw)
21.0,4,120.0,87.0,2979.0,19.5,52,1972,europe,peugeot 504 (sw)
26.0,4,96.0,69.0,2189.0,18.0,52,1972,europe,renault 12 (sw)
22.0,4,122.0,86.0,2395.0,16.0,52,1972,usa,ford pinto (sw)
28.0,4,97.0,92.0,2288.0,17.0,52,1972,japan,datsun 510 (sw)
23.0,4,120.0,97.0,2506.0,14.5,52,1972,japan,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164.0,15.0,52,1972,usa,dodge colt (sw)
27.0,4,97.0,88.0,2100.0,16.5,52,1972,japan,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100.0,13.0,51,1973,usa,buick century 350
14.0,8,304.0,150.0,3672.0,11.5,51,1973,usa,amc matador
13.0,8,350.0,145.0,3988.0,13.0,51,1973,usa,chevrolet malibu
14.0,8,302.0,137.0,4042.0,14.5,51,1973,usa,ford gran torino
15.0,8,318.0,150.0,3777.0,12.5,51,1973,usa,dodge coronet custom
12.0,8,429.0,198.0,4952.0,11.5,51,1973,usa,mercury marquis brougham
13.0,8,400.0,150.0,4464.0,12.0,51,1973,usa,chevrolet caprice classic
13.0,8,351.0,158.0,4363.0,13.0,51,1973,usa,ford ltd
14.0,8,318.0,150.0,4237.0,14.5,51,1973,usa,plymouth fury gran sedan
13.0,8,360.0,175.0,3821.0,11.0,51,1973,usa,amc ambassador brougham
18.0,6,225.0,105.0,3121.0,16.5,51,1973,usa,plymouth valiant
16.0,6,250.0,100.0,3278.0,18.0,51,1973,usa,chevrolet nova custom
18.0,6,232.0,100.0,2945.0,16.0,51,1973,usa,amc hornet
18.0,6,250.0,88.0,3021.0,16.5,51,1973,usa,ford maverick
23.0,6,198.0,95.0,2904.0,16.0,51,1973,usa,plymouth duster
26.0,4,97.0,46.0,1950.0,21.0,51,1973,europe,volkswagen super beetle
11.0,8,400.0,150.0,4997.0,14.0,51,1973,usa,chevrolet impala
12.0,8,400.0,167.0,4906.0,12.5,51,1973,usa,ford country
13.0,8,360.0,170.0,4654.0,13.0,51,1973,usa,plymouth custom suburb
12.0,8,350.0,180.0,4499.0,12.5,51,1973,usa,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789.0,15.0,51,1973,usa,amc gremlin
20.0,4,97.0,88.0,2279.0,19.0,51,1973,japan,toyota carina
21.0,4,140.0,72.0,2401.0,19.5,51,1973,usa,chevrolet vega
22.0,4,108.0,94.0,2379.0,16.5,51,1973,japan,datsun 610
18.0,3,70.0,90.0,2124.0,13.5,51,1973,japan,maxda rx3
19.0,4,122.0,85.0,2310.0,18.5,51,1973,usa,ford pinto
21.0,6,155.0,107.0,2472.0,14.0,51,1973,usa,mercury capri v6
26.0,4,98.0,90.0,2265.0,15.5,51,1973,europe,fiat 124 sport coupe
15.0,8,350.0,145.0,4082.0,13.0,51,1973,usa,chevrolet monte carlo s
29.0,4,68.0,49.0,1867.0,19.5,51,1973,europe,fiat 128
24.0,4,116.0,75.0,2158.0,15.5,51,1973,europe,opel manta
20.0,4,114.0,91.0,2582.0,14.0,51,1973,europe,audi 100ls
19.0,4,121.0,112.0,2868.0,15.5,51,1973,europe,volvo 144ea
15.0,8,318.0,150.0,3399.0,11.0,51,1973,usa,dodge dart custom
24.0,4,121.0,110.0,2660.0,14.0,51,1973,europe,saab 99le
20.0,6,156.0,122.0,2807.0,13.5,51,1973,japan,toyota mark ii
11.0,8,350.0,180.0,3664.0,11.0,51,1973,usa,oldsmobile omega
20.0,6,198.0,95.0,3102.0,16.5,50,1974,usa,plymouth duster
19.0,6,232.0,100.0,2901.0,16.0,50,1974,usa,amc hornet
15.0,6,250.0,100.0,3336.0,17.0,50,1974,usa,chevrolet nova
31.0,4,79.0,67.0,1950.0,19.0,50,1974,japan,datsun b210
26.0,4,122.0,80.0,2451.0,16.5,50,1974,usa,ford pinto
32.0,4,71.0,65.0,1836.0,21.0,50,1974,japan,toyota corolla 1200
25.0,4,140.0,75.0,2542.0,17.0,50,1974,usa,chevrolet vega
16.0,6,250.0,100.0,3781.0,17.0,50,1974,usa,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632.0,18.0,50,1974,usa,amc matador
18.0,6,225.0,105.0,3613.0,16.5,50,1974,usa,plymouth satellite sebring
16.0,8,302.0,140.0,4141.0,14.0,50,1974,usa,ford gran torino
13.0,8,350.0,150.0,4699.0,14.5,50,1974,usa,buick century luxus (sw)
14.0,8,318.0,150.0,4457.0,13.5,50,1974,usa,dodge coronet custom (sw)
14.0,8,302.0,140.0,4638.0,16.0,50,1974,usa,ford gran torino (sw)
14.0,8,304.0,150.0,4257.0,15.5,50,1974,usa,amc matador (sw)
29.0,4,98.0,83.0,2219.0,16.5,50,1974,europe,audi fox
26.0,4,79.0,67.0,1963.0,15.5,50,1974,europe,volkswagen dasher
26.0,4,97.0,78.0,2300.0,14.5,50,1974,europe,opel manta
31.0,4,76.0,52.0,1649.0,16.5,50,1974,japan,toyota corona
32.0,4,83.0,61.0,2003.0,19.0,50,1974,japan,datsun 710
28.0,4,90.0,75.0,2125.0,14.5,50,1974,usa,dodge colt
24.0,4,90.0,75.0,2108.0,15.5,50,1974,europe,fiat 128
26.0,4,116.0,75.0,2246.0,14.0,50,1974,europe,fiat 124 tc
24.0,4,120.0,97.0,2489.0,15.0,50,1974,japan,honda civic
26.0,4,108.0,93.0,2391.0,15.5,50,1974,japan,subaru
31.0,4,79.0,67.0,2000.0,16.0,50,1974,europe,fiat x1.9
19.0,6,225.0,95.0,3264.0,16.0,49,1975,usa,plymouth valiant custom
18.0,6,250.0,105.0,3459.0,16.0,49,1975,usa,chevrolet nova
15.0,6,250.0,72.0,3432.0,21.0,49,1975,usa,mercury monarch
15.0,6,250.0,72.0,3158.0,19.5,49,1975,usa,ford maverick
16.0,8,400.0,170.0,4668.0,11.5,49,1975,usa,pontiac catalina
15.0,8,350.0,145.0,4440.0,14.0,49,1975,usa,chevrolet bel air
16.0,8,318.0,150.0,4498.0,14.5,49,1975,usa,plymouth grand fury
14.0,8,351.0,148.0,4657.0,13.5,49,1975,usa,ford ltd
17.0,6,231.0,110.0,3907.0,21.0,49,1975,usa,buick century
16.0,6,250.0,105.0,3897.0,18.5,49,1975,usa,chevroelt chevelle malibu
15.0,6,258.0,110.0,3730.0,19.0,49,1975,usa,amc matador
18.0,6,225.0,95.0,3785.0,19.0,49,1975,usa,plymouth fury
21.0,6,231.0,110.0,3039.0,15.0,49,1975,usa,buick skyhawk
20.0,8,262.0,110.0,3221.0,13.5,49,1975,usa,chevrolet monza 2+2
13.0,8,302.0,129.0,3169.0,12.0,49,1975,usa,ford mustang ii
29.0,4,97.0,75.0,2171.0,16.0,49,1975,japan,toyota corolla
23.0,4,140.0,83.0,2639.0,17.0,49,1975,usa,ford pinto
20.0,6,232.0,100.0,2914.0,16.0,49,1975,usa,amc gremlin
23.0,4,140.0,78.0,2592.0,18.5,49,1975,usa,pontiac astro
24.0,4,134.0,96.0,2702.0,13.5,49,1975,japan,toyota corona
25.0,4,90.0,71.0,2223.0,16.5,49,1975,europe,volkswagen dasher
24.0,4,119.0,97.0,2545.0,17.0,49,1975,japan,datsun 710
18.0,6,171.0,97.0,2984.0,14.5,49,1975,usa,ford pinto
29.0,4,90.0,70.0,1937.0,14.0,49,1975,europe,volkswagen rabbit
19.0,6,232.0,90.0,3211.0,17.0,49,1975,usa,amc pacer
23.0,4,115.0,95.0,2694.0,15.0,49,1975,europe,audi 100ls
23.0,4,120.0,88.0,2957.0,17.0,49,1975,europe,peugeot 504
22.0,4,121.0,98.0,2945.0,14.5,49,1975,europe,volvo 244dl
25.0,4,121.0,115.0,2671.0,13.5,49,1975,europe,saab 99le
33.0,4,91.0,53.0,1795.0,17.5,49,1975,japan,honda civic cvcc
28.0,4,107.0,86.0,2464.0,15.5,48,1976,europe,fiat 131
25.0,4,116.0,81.0,2220.0,16.9,48,1976,europe,opel 1900
25.0,4,140.0,92.0,2572.0,14.9,48,1976,usa,capri ii
26.0,4,98.0,79.0,2255.0,17.7,48,1976,usa,dodge colt
27.0,4,101.0,83.0,2202.0,15.3,48,1976,europe,renault 12tl
17.5,8,305.0,140.0,4215.0,13.0,48,1976,usa,chevrolet chevelle malibu classic
16.0,8,318.0,150.0,4190.0,13.0,48,1976,usa,dodge coronet brougham
15.5,8,304.0,120.0,3962.0,13.9,48,1976,usa,amc matador
14.5,8,351.0,152.0,4215.0,12.8,48,1976,usa,ford gran torino
22.0,6,225.0,100.0,3233.0,15.4,48,1976,usa,plymouth valiant
22.0,6,250.0,105.0,3353.0,14.5,48,1976,usa,chevrolet nova
24.0,6,200.0,81.0,3012.0,17.6,48,1976,usa,ford maverick
22.5,6,232.0,90.0,3085.0,17.6,48,1976,usa,amc hornet
29.0,4,90.0,70.0,1937.0,14.2,48,1976,europe,vw rabbit
33.0,4,91.0,53.0,1795.0,17.4,48,1976,japan,honda civic
20.0,6,225.0,100.0,3651.0,17.7,48,1976,usa,dodge aspen se
18.0,6,250.0,78.0,3574.0,21.0,48,1976,usa,ford granada ghia
18.5,6,250.0,110.0,3645.0,16.2,48,1976,usa,pontiac ventura sj
17.5,6,258.0,95.0,3193.0,17.8,48,1976,usa,amc pacer d/l
29.5,4,97.0,71.0,1825.0,12.2,48,1976,europe,volkswagen rabbit
32.0,4,85.0,70.0,1990.0,17.0,48,1976,japan,datsun b-210
28.0,4,97.0,75.0,2155.0,16.4,48,1976,japan,toyota corolla
26.5,4,140.0,72.0,2565.0,13.6,48,1976,usa,ford pinto
20.0,4,130.0,102.0,3150.0,15.7,48,1976,europe,volvo 245
13.0,8,318.0,150.0,3940.0,13.2,48,1976,usa,plymouth volare premier v8
19.0,6,156.0,108.0,2930.0,15.5,48,1976,japan,toyota mark ii
16.5,6,168.0,120.0,3820.0,16.7,48,1976,europe,mercedes-benz 280s
16.5,8,350.0,180.0,4380.0,12.1,48,1976,usa,cadillac seville
13.0,8,350.0,145.0,4055.0,12.0,48,1976,usa,chevy c10
13.0,8,302.0,130.0,3870.0,15.0,48,1976,usa,ford f108
13.0,8,318.0,150.0,3755.0,14.0,48,1976,usa,dodge d100
31.5,4,98.0,68.0,2045.0,18.5,47,1977,japan,honda accord cvcc
30.0,4,111.0,80.0,2155.0,14.8,47,1977,usa,buick opel isuzu deluxe
36.0,4,79.0,58.0,1825.0,18.6,47,1977,europe,renault 5 gtl
25.5,4,122.0,96.0,2300.0,15.5,47,1977,usa,plymouth arrow gs
33.5,4,85.0,70.0,1945.0,16.8,47,1977,japan,datsun f-10 hatchback
17.5,8,305.0,145.0,3880.0,12.5,47,1977,usa,chevrolet caprice classic
17.0,8,260.0,110.0,4060.0,19.0,47,1977,usa,oldsmobile cutlass supreme
15.5,8,318.0,145.0,4140.0,13.7,47,1977,usa,dodge monaco brougham
15.0,8,302.0,130.0,4295.0,14.9,47,1977,usa,mercury cougar brougham
17.5,6,250.0,110.0,3520.0,16.4,47,1977,usa,chevrolet concours
20.5,6,231.0,105.0,3425.0,16.9,47,1977,usa,buick skylark
19.0,6,225.0,100.0,3630.0,17.7,47,1977,usa,plymouth volare custom
18.5,6,250.0,98.0,3525.0,19.0,47,1977,usa,ford granada
16.0,8,400.0,180.0,4220.0,11.1,47,1977,usa,pontiac grand prix lj
15.5,8,350.0,170.0,4165.0,11.4,47,1977,usa,chevrolet monte carlo landau
15.5,8,400.0,190.0,4325.0,12.2,47,1977,usa,chrysler cordoba
16.0,8,351.0,149.0,4335.0,14.5,47,1977,usa,ford thunderbird
29.0,4,97.0,78.0,1940.0,14.5,47,1977,europe,volkswagen rabbit custom
24.5,4,151.0,88.0,2740.0,16.0,47,1977,usa,pontiac sunbird coupe
26.0,4,97.0,75.0,2265.0,18.2,47,1977,japan,toyota corolla liftback
25.5,4,140.0,89.0,2755.0,15.8,47,1977,usa,ford mustang ii 2+2
30.5,4,98.0,63.0,2051.0,17.0,47,1977,usa,chevrolet chevette
33.5,4,98.0,83.0,2075.0,15.9,47,1977,usa,dodge colt m/m
30.0,4,97.0,67.0,1985.0,16.4,47,1977,japan,subaru dl
30.5,4,97.0,78.0,2190.0,14.1,47,1977,europe,volkswagen dasher
22.0,6,146.0,97.0,2815.0,14.5,47,1977,japan,datsun 810
21.5,4,121.0,110.0,2600.0,12.8,47,1977,europe,bmw 320i
21.5,3,80.0,110.0,2720.0,13.5,47,1977,japan,mazda rx-4
36.1,4,98.0,66.0,1800.0,14.4,46,1978,usa,ford fiesta
32.8,4,78.0,52.0,1985.0,19.4,46,1978,japan,mazda glc deluxe
39.4,4,85.0,70.0,2070.0,18.6,46,1978,japan,datsun b210 gx
36.1,4,91.0,60.0,1800.0,16.4,46,1978,japan,honda civic cvcc
19.9,8,260.0,110.0,3365.0,15.5,46,1978,usa,oldsmobile cutlass salon brougham
19.4,8,318.0,140.0,3735.0,13.2,46,1978,usa,dodge diplomat
20.2,8,302.0,139.0,3570.0,12.8,46,1978,usa,mercury monarch ghia
19.2,6,231.0,105.0,3535.0,19.2,46,1978,usa,pontiac phoenix lj
20.5,6,200.0,95.0,3155.0,18.2,46,1978,usa,chevrolet malibu
20.2,6,200.0,85.0,2965.0,15.8,46,1978,usa,ford fairmont (auto)
25.1,4,140.0,88.0,2720.0,15.4,46,1978,usa,ford fairmont (man)
20.5,6,225.0,100.0,3430.0,17.2,46,1978,usa,plymouth volare
19.4,6,232.0,90.0,3210.0,17.2,46,1978,usa,amc concord
20.6,6,231.0,105.0,3380.0,15.8,46,1978,usa,buick century special
20.8,6,200.0,85.0,3070.0,16.7,46,1978,usa,mercury zephyr
18.6,6,225.0,110.0,3620.0,18.7,46,1978,usa,dodge aspen
18.1,6,258.0,120.0,3410.0,15.1,46,1978,usa,amc concord d/l
19.2,8,305.0,145.0,3425.0,13.2,46,1978,usa,chevrolet monte carlo landau
17.7,6,231.0,165.0,3445.0,13.4,46,1978,usa,buick regal sport coupe (turbo)
18.1,8,302.0,139.0,3205.0,11.2,46,1978,usa,ford futura
17.5,8,318.0,140.0,4080.0,13.7,46,1978,usa,dodge magnum xe
30.0,4,98.0,68.0,2155.0,16.5,46,1978,usa,chevrolet chevette
27.5,4,134.0,95.0,2560.0,14.2,46,1978,japan,toyota corona
27.2,4,119.0,97.0,2300.0,14.7,46,1978,japan,datsun 510
30.9,4,105.0,75.0,2230.0,14.5,46,1978,usa,dodge omni
21.1,4,134.0,95.0,2515.0,14.8,46,1978,japan,toyota celica gt liftback
23.2,4,156.0,105.0,2745.0,16.7,46,1978,usa,plymouth sapporo
23.8,4,151.0,85.0,2855.0,17.6,46,1978,usa,oldsmobile starfire sx
23.9,4,119.0,97.0,2405.0,14.9,46,1978,japan,datsun 200-sx
20.3,5,131.0,103.0,2830.0,15.9,46,1978,europe,audi 5000
17.0,6,163.0,125.0,3140.0,13.6,46,1978,europe,volvo 264gl
21.6,4,121.0,115.0,2795.0,15.7,46,1978,europe,saab 99gle
16.2,6,163.0,133.0,3410.0,15.8,46,1978,europe,peugeot 604sl
31.5,4,89.0,71.0,1990.0,14.9,46,1978,europe,volkswagen scirocco
29.5,4,98.0,68.0,2135.0,16.6,46,1978,japan,honda accord lx
21.5,6,231.0,115.0,3245.0,15.4,45,1979,usa,pontiac lemans v6
19.8,6,200.0,85.0,2990.0,18.2,45,1979,usa,mercury zephyr 6
22.3,4,140.0,88.0,2890.0,17.3,45,1979,usa,ford fairmont 4
20.2,6,232.0,90.0,3265.0,18.2,45,1979,usa,amc concord dl 6
20.6,6,225.0,110.0,3360.0,16.6,45,1979,usa,dodge aspen 6
17.0,8,305.0,130.0,3840.0,15.4,45,1979,usa,chevrolet caprice classic
17.6,8,302.0,129.0,3725.0,13.4,45,1979,usa,ford ltd landau
16.5,8,351.0,138.0,3955.0,13.2,45,1979,usa,mercury grand marquis
18.2,8,318.0,135.0,3830.0,15.2,45,1979,usa,dodge st. regis
16.9,8,350.0,155.0,4360.0,14.9,45,1979,usa,buick estate wagon (sw)
15.5,8,351.0,142.0,4054.0,14.3,45,1979,usa,ford country squire (sw)
19.2,8,267.0,125.0,3605.0,15.0,45,1979,usa,chevrolet malibu classic (sw)
18.5,8,360.0,150.0,3940.0,13.0,45,1979,usa,chrysler lebaron town @ country (sw)
31.9,4,89.0,71.0,1925.0,14.0,45,1979,europe,vw rabbit custom
34.1,4,86.0,65.0,1975.0,15.2,45,1979,japan,maxda glc deluxe
35.7,4,98.0,80.0,1915.0,14.4,45,1979,usa,dodge colt hatchback custom
27.4,4,121.0,80.0,2670.0,15.0,45,1979,usa,amc spirit dl
25.4,5,183.0,77.0,3530.0,20.1,45,1979,europe,mercedes benz 300d
23.0,8,350.0,125.0,3900.0,17.4,45,1979,usa,cadillac eldorado
34.2,4,105.0,70.0,2200.0,13.2,45,1979,usa,plymouth horizon
34.5,4,105.0,70.0,2150.0,14.9,45,1979,usa,plymouth horizon tc3
31.8,4,85.0,65.0,2020.0,19.2,45,1979,japan,datsun 210
37.3,4,91.0,69.0,2130.0,14.7,45,1979,europe,fiat strada custom
28.4,4,151.0,90.0,2670.0,16.0,45,1979,usa,buick skylark limited
28.8,6,173.0,115.0,2595.0,11.3,45,1979,usa,chevrolet citation
26.8,6,173.0,115.0,2700.0,12.9,45,1979,usa,oldsmobile omega brougham
33.5,4,151.0,90.0,2556.0,13.2,45,1979,usa,pontiac phoenix
41.5,4,98.0,76.0,2144.0,14.7,44,1980,europe,vw rabbit
38.1,4,89.0,60.0,1968.0,18.8,44,1980,japan,toyota corolla tercel
32.1,4,98.0,70.0,2120.0,15.5,44,1980,usa,chevrolet chevette
37.2,4,86.0,65.0,2019.0,16.4,44,1980,japan,datsun 310
28.0,4,151.0,90.0,2678.0,16.5,44,1980,usa,chevrolet citation
26.4,4,140.0,88.0,2870.0,18.1,44,1980,usa,ford fairmont
24.3,4,151.0,90.0,3003.0,20.1,44,1980,usa,amc concord
19.1,6,225.0,90.0,3381.0,18.7,44,1980,usa,dodge aspen
34.3,4,97.0,78.0,2188.0,15.8,44,1980,europe,audi 4000
29.8,4,134.0,90.0,2711.0,15.5,44,1980,japan,toyota corona liftback
31.3,4,120.0,75.0,2542.0,17.5,44,1980,japan,mazda 626
37.0,4,119.0,92.0,2434.0,15.0,44,1980,japan,datsun 510 hatchback
32.2,4,108.0,75.0,2265.0,15.2,44,1980,japan,toyota corolla
46.6,4,86.0,65.0,2110.0,17.9,44,1980,japan,mazda glc
27.9,4,156.0,105.0,2800.0,14.4,44,1980,usa,dodge colt
40.8,4,85.0,65.0,2110.0,19.2,44,1980,japan,datsun 210
36.4,5,121.0,67.0,2950.0,19.9,44,1980,europe,audi 5000s (diesel)
44.6,4,91.0,67.0,1850.0,13.8,44,1980,japan,honda civic 1500 gl
33.8,4,97.0,67.0,2145.0,18.0,44,1980,japan,subaru dl
29.8,4,89.0,62.0,1845.0,15.3,44,1980,europe,vokswagen rabbit
32.7,6,168.0,132.0,2910.0,11.4,44,1980,japan,datsun 280-zx
23.7,3,70.0,100.0,2420.0,12.5,44,1980,japan,mazda rx-7 gs
35.0,4,122.0,88.0,2500.0,15.1,44,1980,europe,triumph tr7 coupe
32.4,4,107.0,72.0,2290.0,17.0,44,1980,japan,honda accord
27.2,4,135.0,84.0,2490.0,15.7,43,1981,usa,plymouth reliant
26.6,4,151.0,84.0,2635.0,16.4,43,1981,usa,buick skylark
25.8,4,156.0,92.0,2620.0,14.4,43,1981,usa,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725.0,12.6,43,1981,usa,chevrolet citation
30.0,4,135.0,84.0,2385.0,12.9,43,1981,usa,plymouth reliant
39.1,4,79.0,58.0,1755.0,16.9,43,1981,japan,toyota starlet
39.0,4,86.0,64.0,1875.0,16.4,43,1981,usa,plymouth champ
35.1,4,81.0,60.0,1760.0,16.1,43,1981,japan,honda civic 1300
32.3,4,97.0,67.0,2065.0,17.8,43,1981,japan,subaru
37.0,4,85.0,65.0,1975.0,19.4,43,1981,japan,datsun 210 mpg
37.7,4,89.0,62.0,2050.0,17.3,43,1981,japan,toyota tercel
34.1,4,91.0,68.0,1985.0,16.0,43,1981,japan,mazda glc 4
34.7,4,105.0,63.0,2215.0,14.9,43,1981,usa,plymouth horizon 4
34.4,4,98.0,65.0,2045.0,16.2,43,1981,usa,ford escort 4w
29.9,4,98.0,65.0,2380.0,20.7,43,1981,usa,ford escort 2h
33.0,4,105.0,74.0,2190.0,14.2,43,1981,europe,volkswagen jetta
33.7,4,107.0,75.0,2210.0,14.4,43,1981,japan,honda prelude
32.4,4,108.0,75.0,2350.0,16.8,43,1981,japan,toyota corolla
32.9,4,119.0,100.0,2615.0,14.8,43,1981,japan,datsun 200sx
31.6,4,120.0,74.0,2635.0,18.3,43,1981,japan,mazda 626
28.1,4,141.0,80.0,3230.0,20.4,43,1981,europe,peugeot 505s turbo diesel
30.7,6,145.0,76.0,3160.0,19.6,43,1981,europe,volvo diesel
25.4,6,168.0,116.0,2900.0,12.6,43,1981,japan,toyota cressida
24.2,6,146.0,120.0,2930.0,13.8,43,1981,japan,datsun 810 maxima
22.4,6,231.0,110.0,3415.0,15.8,43,1981,usa,buick century
26.6,8,350.0,105.0,3725.0,19.0,43,1981,usa,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060.0,17.1,43,1981,usa,ford granada gl
17.6,6,225.0,85.0,3465.0,16.6,43,1981,usa,chrysler lebaron salon
28.0,4,112.0,88.0,2605.0,19.6,42,1982,usa,chevrolet cavalier
27.0,4,112.0,88.0,2640.0,18.6,42,1982,usa,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395.0,18.0,42,1982,usa,chevrolet cavalier 2-door
31.0,4,112.0,85.0,2575.0,16.2,42,1982,usa,pontiac j2000 se hatchback
29.0,4,135.0,84.0,2525.0,16.0,42,1982,usa,dodge aries se
27.0,4,151.0,90.0,2735.0,18.0,42,1982,usa,pontiac phoenix
24.0,4,140.0,92.0,2865.0,16.4,42,1982,usa,ford fairmont futura
36.0,4,105.0,74.0,1980.0,15.3,42,1982,europe,volkswagen rabbit l
37.0,4,91.0,68.0,2025.0,18.2,42,1982,japan,mazda glc custom l
31.0,4,91.0,68.0,1970.0,17.6,42,1982,japan,mazda glc custom
38.0,4,105.0,63.0,2125.0,14.7,42,1982,usa,plymouth horizon miser
